full_date,date,weekday,time,mood,activities,note
31/03/2019,31-Mar,Sunday,21:58,good,friends | reading | gaming | read news | coffee,stressed from reading hacker news
31/03/2019,31-Mar,Sunday,8:24,rad,sex,
30/03/2019,30-Mar,Saturday,22:03,good,friends | reading | gaming | good meal | procrastinating | read news | coffee,"stressed from news, house hunting"
30/03/2019,30-Mar,Saturday,8:24,good,,
29/03/2019,29-Mar,Friday,22:43,good,work | friends | reading | gaming | good meal | cycling | coffee,
29/03/2019,29-Mar,Friday,8:00,good,reading,
28/03/2019,28-Mar,Thursday,21:44,rad,work | reading | cycling | coffee,music mit kyle and emily
28/03/2019,28-Mar,Thursday,8:31,meh,reading | cycling,
27/03/2019,27-Mar,Wednesday,22:23,bad,procrastinating | read news | coffee,killed mice
27/03/2019,27-Mar,Wednesday,8:06,good,reading | procrastinating,
26/03/2019,26-Mar,Tuesday,21:01,good,gaming | good meal | cycling | read news | coffee,
26/03/2019,26-Mar,Tuesday,9:16,good,work | cycling,
25/03/2019,25-Mar,Monday,20:45,good,work | reading | gaming | cleaning | cooking | coffee,
25/03/2019,25-Mar,Monday,8:00,good,,
24/03/2019,24-Mar,Sunday,8:28,rad,travel,
23/03/2019,23-Mar,Saturday,21:53,rad,reading | good meal | coffee,
23/03/2019,23-Mar,Saturday,10:39,good,relax | reading,
20/03/2019,20-Mar,Wednesday,8:21,good,reading | travel,
19/03/2019,19-Mar,Tuesday,21:00,good,reading | procrastinating | hiking | read news | coffee,
19/03/2019,19-Mar,Tuesday,8:00,rad,relax,
18/03/2019,18-Mar,Monday,21:00,rad,reading | good meal | hiking | cooking | coffee,
18/03/2019,18-Mar,Monday,9:21,rad,,excited for taranaki hike
17/03/2019,17-Mar,Sunday,21:59,good,travel | good meal,prepping for overnight hike
17/03/2019,17-Mar,Sunday,9:23,rad,travel,
16/03/2019,16-Mar,Saturday,21:00,rad,reading | procrastinating | hiking | read news,
16/03/2019,16-Mar,Saturday,11:09,rad,hiking,
15/03/2019,15-Mar,Friday,21:00,rad,reading | hiking | sex,
15/03/2019,15-Mar,Friday,10:01,good,travel | hiking,
